Gmt time,Open,High,Low,Close,Volume
25.08.2010 21:00:00.000,1.26578,1.27638,1.26483,1.27137,81884100585.94
26.08.2010 21:00:00.000,1.27161,1.27789,1.26758,1.27605,81612599365.23
29.08.2010 21:00:00.000,1.27583,1.27712,1.26556,1.26598,82277800292.97
30.08.2010 21:00:00.000,1.26596,1.27434,1.26224,1.26792,81859999755.86
31.08.2010 21:00:00.000,1.26774,1.28550,1.26617,1.28072,81575800781.25
01.09.2010 21:00:00.000,1.28059,1.28483,1.27745,1.28234,82458300170.9
02.09.2010 21:00:00.000,1.28249,1.28981,1.28062,1.28955,81646699462.89
05.09.2010 21:00:00.000,1.28911,1.29184,1.28646,1.28754,81945400146.48
06.09.2010 21:00:00.000,1.28761,1.28769,1.26745,1.26823,81899999511.72
07.09.2010 21:00:00.000,1.26816,1.27634,1.26584,1.27196,82863899291.99
08.09.2010 21:00:00.000,1.27221,1.27663,1.26622,1.26945,80747100097.66
09.09.2010 21:00:00.000,1.26954,1.27471,1.26435,1.26813,81876300170.9
12.09.2010 21:00:00.000,1.26760,1.28923,1.26760,1.28824,81066099975.59
13.09.2010 21:00:00.000,1.28821,1.30353,1.28271,1.29972,82350099853.52
14.09.2010 21:00:00.000,1.29972,1.30381,1.29523,1.30106,81251500976.56
15.09.2010 21:00:00.000,1.30093,1.31155,1.29737,1.30775,82208199096.68
16.09.2010 21:00:00.000,1.30784,1.31593,1.30191,1.30486,81650900024.41
19.09.2010 21:00:00.000,1.30562,1.31213,1.30320,1.30613,81890299682.62
20.09.2010 21:00:00.000,1.30596,1.32835,1.30545,1.32626,81575699951.17
21.09.2010 21:00:00.000,1.32625,1.34395,1.32458,1.34051,81122699951.17
22.09.2010 21:00:00.000,1.34059,1.34142,1.33037,1.33135,82322000000
23.09.2010 21:00:00.000,1.33135,1.34956,1.32841,1.34896,82809799682.62
26.09.2010 21:00:00.000,1.34854,1.35068,1.34239,1.34529,81140100097.66
27.09.2010 21:00:00.000,1.34536,1.35955,1.33786,1.35826,80974000244.14
28.09.2010 21:00:00.000,1.35853,1.36466,1.35648,1.36265,81124299804.69
