id,pair,mode,ind,p1,p2,p3,cnt,train_sr,winrate,ev,sharpe,dsr,p_val,n_trades,p_adj
611,GBPJPY,HA,DynETD,150,0.5,50,1714,0.14713516594795645,0.4975662109861995,3.3468332e-06,0.14713517654917066,0.0,5.594018581689397e-10,1714,2.0075503914374505e-09
612,GBPJPY,HA,DynETD,150,1.0,50,1565,0.12673616227870454,0.4983381850688794,2.9604184e-06,0.12673617842606022,0.0,2.6697513078044466e-07,1565,6.93800574974886e-07
613,GBPJPY,HA,DynETD,150,1.5,50,1415,0.2173614357152398,0.49797238462495336,5.316228e-06,0.2173614430012847,0.0,1.1102230246251565e-16,1415,8.682781956738253e-16
614,GBPJPY,HA,DynETD,150,2.0,50,1197,0.30491178181411127,0.498272157044953,8.067286e-06,0.30491177112202505,0.0,0.0,1197,0.0
615,GBPJPY,HA,DynETD,150,0.5,100,1169,0.13079937040886144,0.4973560192048145,3.0132787e-06,0.1307993848139006,0.0,3.8724888691277215e-06,1169,8.273951733265157e-06
616,GBPJPY,HA,DynETD,150,1.0,100,1041,0.1419804252377584,0.49689864856631044,3.4612335e-06,0.14198038179816563,0.0,2.3145581790062764e-06,1041,5.1999152585262955e-06
617,GBPJPY,HA,Hurst,400,0.4,20,5891,0.16323790978497196,0.492510625064787,4.0752566e-06,0.1632378861800402,0.0,0.0,5891,0.0
618,GBPJPY,HA,Hurst,400,0.45,20,5307,0.15473639381893703,0.4908494315555966,4.1892954e-06,0.15473642352061912,0.0,0.0,5307,0.0
619,GBPJPY,HA,Hurst,400,0.7,10,1342,0.24195304619326424,0.48898395721925136,1.7979864e-05,0.24195309431467166,0.0,0.0,1342,0.0
620,GBPJPY,HA,Hurst,500,0.4,20,5557,0.26806218385841446,0.49280922958866413,6.7541296e-06,0.26806223732924284,0.0,0.0,5557,0.0
621,GBPJPY,HA,Hurst,500,0.45,20,4920,0.23087951105409568,0.4932628589460398,6.467089e-06,0.23087957131220266,0.0,0.0,4920,0.0
622,GBPUSD,Normal,DynETD,50,1.0,300,1221,0.25814685494052,0.5000520453835745,5.939654e-06,0.25814678246824935,0.0,0.0,1221,0.0
623,GBPUSD,Normal,DynETD,50,1.5,300,650,0.15835017795065234,0.503380454824831,5.238804e-06,0.15835016033553007,0.0,2.7051917275922044e-05,650,5.085269710144983e-05
624,GBPUSD,Normal,DynETD,50,2.0,300,499,0.23404653107363857,0.5032480833382104,8.771919e-06,0.23404657270821522,0.0,8.558210895515117e-08,499,2.326149781108863e-07
625,GBPUSD,Normal,DynETD,50,1.0,350,1182,0.117659755152923,0.5009884213499012,2.7578706e-06,0.11765971955251674,0.0,2.6142824141484056e-05,1182,4.945337336103279e-05
626,GBPUSD,Normal,DynETD,100,2.0,100,749,0.17100460802642078,0.5005166992810185,4.226255e-06,0.17100464000526786,0.0,1.4341521643590482e-06,749,3.2933854411458478e-06
627,GBPUSD,Normal,DynETD,100,0.5,150,1225,0.1414619735884827,0.4985269509062198,2.4775807e-06,0.14146195179061904,0.0,3.688463310336232e-07,1225,9.210048446592579e-07
