id,pair,mode,ind,p1,p2,cnt,train_sr,winrate,ev,sharpe,dsr,p_val,n_trades,p3,p_adj
4631,EURJPY,Normal,DynRSI,150,180.0,254,0.2863686855074868,0.5072722993645563,9.596748e-06,0.28636866605563516,1.1056621138727954e-107,2.5098163107806215e-06,254,3.0,3.91757434933964e-06
4632,EURJPY,Normal,DynRSI,150,190.0,421,0.22570193542717332,0.506087437742114,5.669657e-06,0.22570191649852092,1.3703246084317036e-220,1.8193775055408423e-06,421,2.5,2.8962120028358267e-06
4633,EURJPY,Normal,DynRSI,150,190.0,331,0.22187252441863825,0.5049014513838374,6.321166e-06,0.22187252554778475,2.093591160789195e-177,2.7113766586706056e-05,331,2.75,3.717315528599011e-05
4634,EURJPY,Normal,DynRSI,150,190.0,238,0.2664857457965844,0.5065610755559649,8.819592e-06,0.2664857349791372,3.144810444246826e-107,1.968537476515486e-05,238,3.0,2.7515166413366902e-05
4635,EURJPY,Normal,DynRSI,150,200.0,308,0.20561848671675664,0.5052033724909162,5.925147e-06,0.20561848682874062,2.2165872147841855e-171,0.00015393297583488064,308,2.75,0.00019132114179578572
4636,EURJPY,Normal,DynRSI,150,200.0,227,0.30400438719186956,0.5061728395061729,1.0138568e-05,0.3040043941233287,8.438145947098673e-92,2.321680031114326e-06,227,3.0,3.6493784390269157e-06
4637,EURJPY,Normal,DynRSI,150,210.0,296,0.30199124835220686,0.5061078880040359,8.718029e-06,0.3019911876214319,4.1805763335532185e-121,1.0200132016802144e-07,296,2.75,1.8920033793698962e-07
4638,EURJPY,Normal,DynRSI,150,210.0,214,0.2806169769480246,0.5049907936815583,9.3938725e-06,0.2806169656442988,9.512915603302939e-95,2.020942201796938e-05,214,3.0,2.8199593312975612e-05
4639,EURJPY,Normal,DynRSI,150,220.0,555,0.1384110014589901,0.5050798821157128,2.931246e-06,0.13841098897810236,0.0,0.0005555962858542207,555,2.0,0.0006466115859728704
4640,EURJPY,Normal,DynRSI,150,220.0,474,0.13783575737281725,0.5056797361670942,3.1998534e-06,0.13783580264068643,1.163501786986488e-301,0.001345924311692337,474,2.25,0.0015075781952590267
4641,EURJPY,Normal,DynRSI,150,220.0,384,0.10640748648566031,0.5059070332339627,2.731412e-06,0.10640752592156281,5.0550120020120037e-262,0.018527700669998093,384,2.5,0.01900399117565357
4642,EURJPY,Normal,DynRSI,150,220.0,280,0.25936513943962725,0.506390838566679,7.667455e-06,0.25936516496123063,1.6533707321801116e-129,7.123833784872247e-06,280,2.75,1.0515864230183879e-05
4643,EURJPY,Normal,DynRSI,150,220.0,212,0.24225525594901695,0.5049864898059445,8.227648e-06,0.24225524549557137,1.5280052287217412e-106,0.00020991862966446284,212,3.0,0.00025705281434443137
4644,EURJPY,Normal,DynRSI,150,230.0,461,0.13515843276495892,0.5055956229793583,3.1005538e-06,0.1351584864209339,2.263759271100156e-295,0.0018540860871810727,461,2.25,0.0020504811525248463
4645,EURJPY,Normal,DynRSI,150,230.0,276,0.15576041187360537,0.5046060116710096,4.554544e-06,0.1557604275796723,4.913332500231229e-171,0.0048311427415719255,276,2.75,0.005139965429073676
4646,EURJPY,Normal,DynRSI,150,240.0,445,0.13674421388031055,0.5059025394646534,3.1563663e-06,0.13674421427752176,1.149397514546878e-283,0.0019594171789796277,445,2.25,0.002158883186303175
4647,EURJPY,Normal,DynRSI,150,270.0,242,0.1117298411776058,0.5039384988260244,3.365159e-06,0.11172988266861542,1.5538029474233868e-168,0.0410957985783128,242,2.75,0.041460894854891815
4648,EURJPY,Normal,DynRSI,150,280.0,234,0.12040087142348428,0.5042142939614364,3.6864628e-06,0.12040086287796059,1.397909504954889e-162,0.032753738012799904,234,2.75,0.033160295863596555
4649,EURJPY,Normal,DynRSI,150,280.0,166,0.11200135593229078,0.5038243006993007,3.9851393e-06,0.11200134251784226,3.504679161657207e-114,0.07450511523117764,166,3.0,0.07467203096794811
4650,EURJPY,Normal,DynRSI,150,290.0,304,0.15032870069810023,0.506063516839767,4.0616223e-06,0.1503286956178882,3.1534931594113544e-194,0.004382708336233221,304,2.5,0.004678713078878519
4651,EURJPY,Normal,DynRSI,150,300.0,295,0.15775170028911903,0.5052942404629105,4.224372e-06,0.15775172463536016,1.481486919592735e-186,0.0033694907195130908,295,2.5,0.0036333205384684653
4652,EURJPY,Normal,DynRSI,150,300.0,214,0.11882890996461834,0.504772736504326,3.7417442e-06,0.1188288963264296,2.021432854280073e-149,0.041077495874804915,214,2.75,0.04144526186438935
4653,EURJPY,Normal,DynRSI,200,10.0,117,0.29245265166757434,0.5022271714922049,4.5818233e-05,0.2924526476631536,2.6560066326233443e-74,0.0007797992610221183,117,2.75,0.0008942190842371859
4654,EURJPY,Normal,DynRSI,200,110.0,788,0.11226316137342872,0.5047258592471359,2.4497203e-06,0.1122631694535293,0.0,0.0008125120056978741,788,2.25,0.0009300701512070803
4655,EURJPY,Normal,DynRSI,200,110.0,656,0.16704397988761766,0.5048303315694936,3.9855095e-06,0.16704399155406174,0.0,9.4114960117464e-06,656,2.5,1.3665969865389211e-05
4656,EURJPY,Normal,DynRSI,200,110.0,511,0.12110683475132272,0.5040044356826022,3.2936487e-06,0.12110682688086752,0.0,0.003093926398917146,511,2.75,0.0033479172782535974
4657,EURJPY,Normal,DynRSI,200,120.0,751,0.15216323932314663,0.504668921793028,3.307489e-06,0.15216320433082958,0.0,1.5234115551043814e-05,751,2.25,2.1596048384872272e-05
4658,EURJPY,Normal,DynRSI,200,130.0,702,0.10776884385686544,0.5047619047619047,2.3721607e-06,0.10776886302431238,0.0,0.002149359673964457,702,2.25,0.002359357340080101
4659,EURJPY,Normal,DynRSI,200,150.0,511,0.11986720509354512,0.5059000631282474,2.8454938e-06,0.11986718679296945,0.0,0.003367866301969946,511,2.5,0.0036318342013135366
4660,EURJPY,Normal,DynRSI,200,150.0,298,0.18632882672581838,0.5065823217644042,5.8878936e-06,0.18632883096301625,3.211672920257682e-169,0.0006487450423445784,298,3.0,0.0007495830836763724
4661,EURJPY,Normal,DynRSI,200,160.0,492,0.27853543877797426,0.5062567740664105,6.650415e-06,0.27853545961256715,2.0002975576278107e-207,3.241511503659922e-10,492,2.5,8.220998853896483e-10
4662,EURJPY,Normal,DynRSI,200,160.0,370,0.3059677927026919,0.506478019853036,8.32882e-06,0.3059677340013747,3.819678343547673e-154,1.9853796384694533e-09,370,2.75,4.554803357066751e-09
4663,EURJPY,Normal,DynRSI,200,160.0,285,0.26349355545873965,0.5069364897543591,8.308112e-06,0.263493574585268,1.0044965172424756e-130,4.327961539263292e-06,285,3.0,6.568694993743598e-06
4664,EURJPY,Normal,DynRSI,200,170.0,560,0.14834293926397737,0.5048239516982385,3.2361183e-06,0.14834299361912476,0.0,0.00022368629222102587,560,2.25,0.00027206135541761454
4665,EURJPY,Normal,DynRSI,200,170.0,465,0.23520179804143296,0.5056641604010025,5.7082425e-06,0.23520183426773836,1.785341846459784e-225,1.969740072160775e-07,465,2.5,3.5466263016710296e-07
4666,EURJPY,Normal,DynRSI,200,170.0,357,0.22653594509000563,0.5057897767257373,6.14296e-06,0.22653594211986816,8.961654875428147e-188,9.333310931003425e-06,357,2.75,1.3562815834722986e-05
4667,EURJPY,Normal,DynRSI,200,170.0,273,0.12822713724059928,0.5055868233736136,3.979646e-06,0.1282271524545395,7.957513891238177e-180,0.017059594354795538,273,3.0,0.01752005505807628
4668,EURJPY,Normal,DynRSI,200,180.0,625,0.1285108284486026,0.5049499494903114,2.6333912e-06,0.12851086167596495,0.0,0.0006573040665442953,625,2.0,0.0007588785433951225
4669,EURJPY,Normal,DynRSI,200,180.0,438,0.11947487222304044,0.505900804772067,2.9328487e-06,0.11947494433139819,9.468738279036468e-289,0.006202213743192964,438,2.5,0.006545845116582622
4670,EURJPY,Normal,DynRSI,200,180.0,343,0.2447338790874022,0.5056794547723419,6.6989087e-06,0.24473387382007533,1.3212093461477805e-167,2.9140039218278346e-06,343,2.75,4.510793739954317e-06
